cohort,skill_id,skill_name,script_relpath,script_ext,script_bytes,op_read,op_write,op_delete,op_exec,op_network,op_credentials_access,matched_ops,evidence_patterns
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,evaluate-session.sh,.sh,2391,1,1,0,0,0,0,read;write,"read=shell_cat | write=shell_redirect,mkdir"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,agents/start-observer.sh,.sh,4032,0,1,1,0,0,0,write;delete,"write=shell_redirect,mkdir,copy_move | delete=shell_rm"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,hooks/observe.sh,.sh,4882,1,1,0,1,0,0,read;write;exec,"read=python_json_load | write=python_json_dump,shell_redirect,mkdir,copy_move | exec=shell_interpreter"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,scripts/instinct-cli.py,.py,22304,1,1,0,1,1,0,read;write;exec;network,"read=python_read_text | write=python_write_text,shell_redirect,mkdir,copy_move | exec=shell_interpreter | network=python_urllib"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,scripts/test_parse_instinct.py,.py,1636,0,0,0,0,0,0,,
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,suggest-compact.sh,.sh,1788,0,1,0,0,0,0,write,write=shell_redirect
popular,agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md,system-info,scripts/get_system_info.py,.py,963,0,1,0,1,0,0,write;exec,write=python_json_dump | exec=shell_interpreter
popular,agno-agi-agno-cookbook-05-agent-os-skills-sample-skills-system-info-skill-md,system-info,scripts/list_directory.py,.py,1258,0,1,0,1,0,0,write;exec,write=python_json_dump | exec=shell_interpreter
popular,airbytehq-airbyte-claude-skills-my-prs-skill-md,my-prs,scripts/fetch-prs.sh,.sh,3710,1,1,0,0,0,0,read;write,read=shell_cat | write=shell_redirect
popular,anthropics-claude-code-plugins-plugin-dev-skills-agent-development-skill-md,agent-identifier,scripts/validate-agent.sh,.sh,5796,1,1,0,0,0,0,read;write,read=shell_cat | write=shell_redirect
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,examples/load-context.sh,.sh,1690,0,1,0,1,0,0,write;exec,write=shell_redirect | exec=shell_interpreter
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,examples/validate-bash.sh,.sh,1304,0,1,1,1,0,0,write;delete;exec,write=shell_redirect | delete=shell_rm | exec=shell_interpreter
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,examples/validate-write.sh,.sh,1222,0,0,0,0,0,1,credentials_access,credentials_access=credential_words
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,scripts/hook-linter.sh,.sh,4200,1,0,0,0,0,0,read,read=shell_cat
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,scripts/test-hook.sh,.sh,5336,1,1,1,1,0,0,read;write;delete;exec,read=shell_cat | write=shell_redirect | delete=shell_rm | exec=shell_interpreter
popular,anthropics-claude-code-plugins-plugin-dev-skills-hook-development-skill-md,hook-development,scripts/validate-hook-schema.sh,.sh,5081,0,1,0,0,0,0,write,write=shell_redirect
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,examples/read-settings-hook.sh,.sh,2205,1,0,0,0,0,1,read;credentials_access,read=shell_cat | credentials_access=credential_words
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,scripts/parse-frontmatter.sh,.sh,1269,1,0,0,0,0,0,read,read=shell_cat
popular,anthropics-claude-code-plugins-plugin-dev-skills-plugin-settings-skill-md,configured-agent,scripts/validate-settings.sh,.sh,2712,1,1,0,0,0,0,read;write,read=shell_cat | write=shell_redirect
