cohort,source_skill_id,source_skill_name,source_repo,target_skill_id,target_candidate,resolution,evidence_type,confidence,local_path,line_no,evidence_text,reviewer,is_true_dependency,target_corrected,mechanism_label,notes
popular,obra-superpowers-skills-writing-skills-skill-md,writing-skills,obra/superpowers,,coding,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/obra-superpowers-skills-writing-skills-skill-md/content/examples/CLAUDE_MD_TESTING.md,60,A) Check ~/.claude/skills/coding/ for refactoring guidance,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-creative-design-ui-ux-pro-max-skill-md,ui-ux-pro-max,davila7/claude-code-templates,,ui-ux-pro-max,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-creative-design-ui-ux-pro-max-skill-md/content/SKILL.md,237,"python3 .claude/skills/ui-ux-pro-max/scripts/search.py ""animation accessibility"" --domain ux",,,,,
random,fyuuki0jp-sourcedoc-claude-skills-fsd-es-lite-skill-md,fsd-es-lite,fyuuki0jp/SourceDoc,,fsd-es-lite,unresolved,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fyuuki0jp-sourcedoc-claude-skills-fsd-es-lite-skill-md/content/scripts/scaffold-feature.ts,962,"""Usage: npx tsx .claude/skills/fsd-es-lite/scripts/scaffold-feature.ts <feature-name>"",",,,,,
random,fyuuki0jp-sourcedoc-claude-skills-fsd-es-lite-skill-md,fsd-es-lite,fyuuki0jp/SourceDoc,,fsd-es-lite,unresolved,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fyuuki0jp-sourcedoc-claude-skills-fsd-es-lite-skill-md/content/SKILL.md,125,npx tsx .claude/skills/fsd-es-lite/scripts/scaffold-widget.ts <widget-name>,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-development-clean-code-skill-md,clean-code,davila7/claude-code-templates,davila7-claude-code-templates-cli-tool-components-skills-creative-design-mobile-design-skill-md,mobile-design,same_repo_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-clean-code-skill-md/content/SKILL.md,153,| **mobile-developer** | Mobile Audit | `python ~/.claude/skills/mobile-design/scripts/mobile_audit.py .` |,,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-daily-meeting-update-skill-md,daily-meeting-update,davila7/claude-code-templates,,daily-meeting-update,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-enterprise-communication-daily-meeting-update-skill-md/content/SKILL.md,299,python3 ~/.claude/skills/daily-meeting-update/scripts/claude_digest.py --project ~/my-app --format json,,,,,
random,phrazzld-claude-config-skills-check-production-skill-md,check-production,phrazzld/claude-config,phrazzld-claude-config-skills-triage-skill-md,triage,same_repo_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/phrazzld-claude-config-skills-check-production-skill-md/content/SKILL.md,30,"~/.claude/skills/triage/scripts/check_sentry.sh 2>/dev/null || echo ""Sentry check unavailable""",,,,,
random,vishalsachdev-claude-skills-write-article-skill-md,write-article,vishalsachdev/claude-skills,,write-article,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/vishalsachdev-claude-skills-write-article-skill-md/content/SKILL.md,25,"python3 ~/.claude/skills/write-article/scripts/update-cache.py --suggest ""your topic here""",,,,,
popular,davila7-claude-code-templates-cli-tool-components-skills-creative-design-draw-io-skill-md,draw-io,davila7/claude-code-templates,,draw-io,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-creative-design-draw-io-skill-md/content/SKILL.md,41,bash ~/.claude/skills/draw-io/scripts/convert-drawio-to-png.sh assets/diagram1.drawio,,,,,
random,lucifer1004-claude-skill-typst-skills-typst-skill-md,typst,lucifer1004/claude-skill-typst,,typst,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/lucifer1004-claude-skill-typst-skills-typst-skill-md/content/README.md,66,typst compile ~/.claude/skills/typst/examples/template-report.typ,,,,,
random,blockscout-mcp-server-claude-skills-test-guided-tool-run-skill-md,test-guided-tool-run,blockscout/mcp-server,,test-guided-tool-run,unresolved,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/blockscout-mcp-server-claude-skills-test-guided-tool-run-skill-md/content/scripts/find_test.py,43,# Get the project root (assumes this script is in .claude/skills/test-guided-tool-run/scripts/),,,,,
random,amo-tech-ai-skybox-gamehub-claude-skills-chrome-dev-skill-skill-md,chrome-devtools-automation,amo-tech-ai/skybox-gamehub,,chrome-dev-skill,unresolved,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/amo-tech-ai-skybox-gamehub-claude-skills-chrome-dev-skill-skill-md/content/README.md,125,.claude/skills/chrome-dev-skill/,,,,,
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-strategic-compact-skill-md/content/SKILL.md,49,"""hooks"": [{ ""type"": ""command"", ""command"": ""node ~/.claude/skills/strategic-compact/suggest-compact.js"" }]",,,,,
random,d-o-hub-github-template-ai-agents-claude-skills-skill-creator-skill-md,skill-creator,d-o-hub/github-template-ai-agents,,skill-name,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/d-o-hub-github-template-ai-agents-claude-skills-skill-creator-skill-md/content/SKILL.md,151,cat > .claude/skills/skill-name/SKILL.md << 'EOF',,,,,
