skill_name,skill_path,max_severity,findings_count,rules_hit,severity_counts
browser,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/henriquemoreira-f-droid-factory-template-skills-browser-skill-md/content,CRITICAL,624,ARCHIVE_FILE_DETECTED; BINARY_FILE_DETECTED; COMMAND_INJECTION_EVAL; COMMAND_INJECTION_JS_CHILD_PROCESS; COMMAND_INJECTION_JS_FUNCTION_CONSTRUCTOR; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; EXCESSIVE_FILE_COUNT; FILE_MAGIC_MISMATCH; HIDDEN_DATA_FILE; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; SECRET_AWS_KEY; SECRET_JWT_TOKEN; SECRET_PASSWORD_VAR; UNANALYZABLE_BINARY; YARA_embedded_elf_binary; YARA_embedded_macho_binary; YARA_embedded_pe_executable; YARA_prompt_injection_unicode_steganography,"{""critical"": 272, ""high"": 63, ""info"": 43, ""low"": 110, ""medium"": 136}"
slack-reader,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/supercorks-agent-skills-slack-reader-skill-md/content,CRITICAL,141,COMMAND_INJECTION_EVAL; COMMAND_INJECTION_JS_CHILD_PROCESS; COMMAND_INJECTION_JS_FUNCTION_CONSTRUCTOR; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; EXCESSIVE_FILE_COUNT; FILE_MAGIC_MISMATCH; HIDDEN_DATA_FILE; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; SECRET_PASSWORD_VAR; YARA_autonomy_abuse_generic,"{""critical"": 47, ""high"": 33, ""info"": 1, ""low"": 13, ""medium"": 47}"
dev-graph-exports,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rm2thaddeus-pixel-detective-skills-dev-graph-exports-skill-md/content,CRITICAL,10,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; DATA_EXFIL_JS_NETWORK; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE; TOOL_ABUSE_UNDECLARED_NETWORK,"{""critical"": 3, ""high"": 3, ""info"": 1, ""medium"": 3}"
writing-skills,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/bluefishs-ck-missive-claude-skills-shared-shared-superpowers-writing-skills-skill-md/content,CRITICAL,9,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_MISSING_LICENSE,"{""critical"": 3, ""high"": 4, ""info"": 1, ""medium"": 1}"
writing-skills,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/peparhugo-github-copilot-command-demo-github-skills-writing-skills-skill-md/content,CRITICAL,8,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; MANIFEST_MISSING_LICENSE,"{""critical"": 3, ""high"": 4, ""info"": 1}"
Jest Test Framework,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/fortiumpartners-ai-mesh-skills-jest-test-skill-md/content,CRITICAL,7,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; FILE_MAGIC_MISMATCH; LOW_ANALYZABILITY; MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE,"{""critical"": 2, ""high"": 2, ""info"": 2, ""medium"": 1}"
Blog Commenter,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/hekmon8-mybacklinks-tools-skills-blog-commenter-skill-skill-md/content,CRITICAL,6,COMMAND_INJECTION_JS_CHILD_PROCESS; DATA_EXFIL_JS_FS_ACCESS; LOW_ANALYZABILITY; MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE,"{""critical"": 1, ""high"": 3, ""info"": 2}"
interface-analyzer,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/rsicarelli-fakt-claude-skills-interface-analyzer-skill-md/content,CRITICAL,5,COMPOUND_FIND_EXEC; MANIFEST_MISSING_LICENSE,"{""critical"": 4, ""info"": 1}"
malicious-skill,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/alonw0-skill-score-malicious-skill-skill-md/content,CRITICAL,4,MANIFEST_MISSING_LICENSE; PIPELINE_TAINT_FLOW; TOOL_ABUSE_SYSTEM_MODIFICATION; YARA_system_manipulation_generic,"{""critical"": 1, ""high"": 2, ""info"": 1}"
API Fuzzing for Bug Bounty,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/atilamedeiros-skills-api-fuzzing-bug-bounty-skill-md/content,CRITICAL,4,MANIFEST_INVALID_NAME; MANIFEST_MISSING_LICENSE; YARA_sql_injection_generic,"{""critical"": 2, ""info"": 2}"
