cohort,source_skill_id,source_skill_name,source_repo,target_skill_id,target_candidate,resolution,evidence_type,confidence,local_path,line_no,evidence_text
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md/content/SKILL.md,64,"""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh"""
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md/content/SKILL.md,16,3. **技能提取**：将有用的模式保存到 `~/.claude/skills/learned/`
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-skill-md/content/SKILL.md,27,"""learned_skills_path"": ""~/.claude/skills/learned/"","
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md/content/SKILL.md,130,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh pre"""
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md/content/SKILL.md,137,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh post"""
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-continuous-learning-v2-skill-md/content/SKILL.md,271,* 现有的 `~/.claude/skills/learned/` 技能仍然有效
popular,affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-cn-skills-strategic-compact-skill-md/content/SKILL.md,43,"""command"": ""~/.claude/skills/strategic-compact/suggest-compact.sh"""
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md/content/SKILL.md,64,"""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh"""
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md/content/SKILL.md,16,3. **技能提取**：將有用模式儲存到 `~/.claude/skills/learned/`
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-skill-md/content/SKILL.md,27,"""learned_skills_path"": ""~/.claude/skills/learned/"","
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md/content/SKILL.md,104,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh pre"""
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md/content/SKILL.md,111,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh post"""
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md/content/SKILL.md,131,~/.claude/skills/continuous-learning-v2/agents/start-observer.sh
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-continuous-learning-v2-skill-md/content/SKILL.md,238,- 現有 `~/.claude/skills/learned/` 技能仍可運作
popular,affaan-m-everything-claude-code-docs-zh-tw-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-docs-zh-tw-skills-strategic-compact-skill-md/content/SKILL.md,41,"""command"": ""~/.claude/skills/strategic-compact/suggest-compact.sh"""
popular,affaan-m-everything-claude-code-skills-configure-ecc-skill-md,configure-ecc,affaan-m/everything-claude-code,,configure-ecc,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-configure-ecc-skill-md/content/SKILL.md,22,"2. **Manual**: Copy only this skill to `~/.claude/skills/configure-ecc/SKILL.md`, then activate by saying ""configure ecc"""
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/SKILL.md,73,"""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh"""
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,,continuous-learning,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/evaluate-session.sh,16,"#         ""command"": ""~/.claude/skills/continuous-learning/evaluate-session.sh"""
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/SKILL.md,15,- Reviewing or curating learned skills in `~/.claude/skills/learned/`
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/SKILL.md,25,3. **Skill Extraction**: Saves useful patterns to `~/.claude/skills/learned/`
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/SKILL.md,36,"""learned_skills_path"": ""~/.claude/skills/learned/"","
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/evaluate-session.sh,24,# Extracted skills saved to: ~/.claude/skills/learned/
popular,affaan-m-everything-claude-code-skills-continuous-learning-skill-md,continuous-learning,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-skill-md/content/evaluate-session.sh,39,"LEARNED_SKILLS_PATH=$(jq -r '.learned_skills_path // ""~/.claude/skills/learned/""' ""$CONFIG_FILE"" | sed ""s|~|$HOME|"")"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/SKILL.md,138,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh pre"""
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/SKILL.md,145,"""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh post"""
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/hooks/observe.sh,28,"#       ""hooks"": [{ ""type"": ""command"", ""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh pre"" }]"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,,continuous-learning-v2,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/hooks/observe.sh,32,"#       ""hooks"": [{ ""type"": ""command"", ""command"": ""~/.claude/skills/continuous-learning-v2/hooks/observe.sh post"" }]"
popular,affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md,continuous-learning-v2,affaan-m/everything-claude-code,seanchiuai-psi-claude-skills-learned-skill-md,learned,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-continuous-learning-v2-skill-md/content/SKILL.md,274,- Existing `~/.claude/skills/learned/` skills still work
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-strategic-compact-skill-md/content/SKILL.md,49,"""hooks"": [{ ""type"": ""command"", ""command"": ""node ~/.claude/skills/strategic-compact/suggest-compact.js"" }]"
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-strategic-compact-skill-md/content/SKILL.md,53,"""hooks"": [{ ""type"": ""command"", ""command"": ""node ~/.claude/skills/strategic-compact/suggest-compact.js"" }]"
popular,affaan-m-everything-claude-code-skills-strategic-compact-skill-md,strategic-compact,affaan-m/everything-claude-code,,strategic-compact,ambiguous,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/affaan-m-everything-claude-code-skills-strategic-compact-skill-md/content/suggest-compact.sh,18,"#         ""command"": ""~/.claude/skills/strategic-compact/suggest-compact.sh"""
popular,airbytehq-airbyte-claude-skills-my-prs-skill-md,my-prs,airbytehq/airbyte,yanmxa-cc-plugins-plugins-git-skills-my-prs-skill-md,my-prs,global_unique,skill_path_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/airbytehq-airbyte-claude-skills-my-prs-skill-md/content/SKILL.md,25,bash .claude/skills/my-prs/scripts/fetch-prs.sh
popular,anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md,command-development,anthropics/claude-code,,coding-standards,ambiguous,explicit_skill_reference,medium,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-command-development-skill-md/content/SKILL.md,737,Use coding-standards skill for validation.
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/SKILL.md,44,"**Metadata Quality:** The `name` and `description` in YAML frontmatter determine when Claude will use the skill. Be specific about what the skill does and when to use it. Use the third-person (e.g. ""This skill should be used when..."" instead of ""Use this skill when..."")."
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/SKILL.md,188,"3. In practice, how should Claude use the skill? All reusable skill contents developed above should be referenced so that Claude knows how to use them."
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/SKILL.md,225,**Use the skill-reviewer agent:**
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/SKILL.md,237,1. Use the skill on real tasks
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/references/skill-creator-original.md,44,"**Metadata Quality:** The `name` and `description` in YAML frontmatter determine when Claude will use the skill. Be specific about what the skill does and when to use it. Use the third-person (e.g. ""This skill should be used when..."" instead of ""Use this skill when..."")."
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/references/skill-creator-original.md,173,"3. In practice, how should Claude use the skill? All reusable skill contents developed above should be referenced so that Claude knows how to use them."
popular,anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md,skill-development,anthropics/claude-code,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-claude-code-plugins-plugin-dev-skills-skill-development-skill-md/content/references/skill-creator-original.md,206,1. Use the skill on real tasks
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/SKILL.md,424,"**Running test cases**: No subagents means no parallel execution. For each test case, read the skill's SKILL.md, then follow its instructions to accomplish the test prompt yourself. Do them one at a time. This is less rigorous than independent subagents (you wrote the skill and you're also running it, so you have full context), but it's a useful sanity check — and the human review step compensates. Skip the baseline runs — just use the skill to complete the task as requested."
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/agents/analyzer.md,53,- Did the agent use the skill's provided tools/scripts?
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/agents/analyzer.md,123,"""Did not use the skill's formatting template"","
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/references/schemas.md,412,"""Did not use the skill's formatting template"","
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,explicit_skill_reference,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/scripts/improve_description.py,49,"prompt = f""""""You are optimizing a skill description for a Claude Code skill called ""{skill_name}"". A ""skill"" is sort of like a prompt, but with progressive disclosure -- there's a title and description that Claude sees when deciding whether to use the skill, and then if it does use the skill, it reads the .md file which has lots more details and potentially links to other resources in the skill folder like helper files and scripts and additional documentation or examples."
popular,anthropics-skills-skills-skill-creator-skill-md,skill-creator,anthropics/skills,,the,unresolved,workflow_invocation,high,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-skill-creator-skill-md/content/scripts/improve_description.py,51,"The description appears in Claude's ""available_skills"" list. When a user sends a query, Claude decides whether to invoke the skill based solely on the title and on this description. Your goal is to write a description that triggers for relevant queries, and doesn't trigger for irrelevant ones."
