review_bucket,cohort,skill_id,skill_name,author,stars,file_count,skill_md_words,taxonomy_labels,security_risk_score,security_positive_score,github_url,local_content_path
security_high,popular,wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md,secrets-management,wshobson,28328,1,843,coding_dev;devops_infra;security;documentation_writing;workflow_automation;integration_tools,132,1,https://github.com/wshobson/agents/tree/main/plugins/cicd-automation/skills/secrets-management,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-cicd-automation-skills-secrets-management-skill-md/content
security_high,popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md,huggingface-tokenizers,davila7,20041,5,1556,coding_dev;data_ml_ai;research_analysis;integration_tools,100,0,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/tokenization-huggingface-tokenizers,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-tokenization-huggingface-tokenizers-skill-md/content
security_high,popular,wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md,auth-implementation-patterns,wshobson,28328,1,1843,coding_dev;security;workflow_automation;integration_tools,73,2,https://github.com/wshobson/agents/tree/main/plugins/developer-essentials/skills/auth-implementation-patterns,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-developer-essentials-skills-auth-implementation-patterns-skill-md/content
security_high,popular,patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md,hugging-face-jobs,patchy631,28245,9,3926,coding_dev;devops_infra;data_ml_ai;security;workflow_automation;integration_tools,60,3,https://github.com/patchy631/ai-engineering-hub/tree/main/hugging-face-skills/skills/hugging-face-jobs,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/patchy631-ai-engineering-hub-hugging-face-skills-skills-hugging-face-jobs-skill-md/content
security_high,popular,wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md,defi-protocol-templates,wshobson,28328,1,1389,coding_dev;security,55,1,https://github.com/wshobson/agents/tree/main/plugins/blockchain-web3/skills/defi-protocol-templates,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/wshobson-agents-plugins-blockchain-web3-skills-defi-protocol-templates-skill-md/content
security_high,popular,github-awesome-copilot-skills-gh-cli-skill-md,gh-cli,github,20780,1,5462,coding_dev;devops_infra;security;workflow_automation;integration_tools,14,0,https://github.com/github/awesome-copilot/tree/main/skills/gh-cli,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/github-awesome-copilot-skills-gh-cli-skill-md/content
security_high,popular,github-awesome-copilot-skills-azure-devops-cli-skill-md,azure-devops-cli,github,20780,1,6876,coding_dev;devops_infra;security;workflow_automation;integration_tools,6,4,https://github.com/github/awesome-copilot/tree/main/skills/azure-devops-cli,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/github-awesome-copilot-skills-azure-devops-cli-skill-md/content
security_high,popular,davila7-claude-code-templates-cli-tool-components-skills-development-cloudflare-deploy-skill-md,cloudflare-deploy,davila7,20041,312,771,coding_dev;devops_infra;data_ml_ai;security;workflow_automation,5,3,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/development/cloudflare-deploy,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-development-cloudflare-deploy-skill-md/content
security_high,popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md,loki-mode,davila7,20041,1104,3282,coding_dev;devops_infra;data_ml_ai;security;research_analysis;workflow_automation;product_design;integration_tools,1,10,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/loki-mode,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-loki-mode-skill-md/content
structure_heavy,popular,vueuse-vueuse-skills-vueuse-functions-skill-md,vueuse-functions,vueuse,22070,266,4151,coding_dev;documentation_writing;integration_tools,0,1,https://github.com/vueuse/vueuse/tree/main/skills/vueuse-functions,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/vueuse-vueuse-skills-vueuse-functions-skill-md/content
structure_heavy,popular,openclaw-openclaw-extensions-open-prose-skills-prose-skill-md,prose,openclaw,182482,86,1788,coding_dev;devops_infra;documentation_writing;research_analysis;workflow_automation,0,3,https://github.com/openclaw/openclaw/tree/main/extensions/open-prose/skills/prose,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/openclaw-openclaw-extensions-open-prose-skills-prose-skill-md/content
structure_heavy,popular,anthropics-skills-skills-canvas-design-skill-md,canvas-design,anthropics,67303,83,1728,research_analysis;workflow_automation,0,9,https://github.com/anthropics/skills/tree/main/skills/canvas-design,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/anthropics-skills-skills-canvas-design-skill-md/content
structure_heavy,popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md,deepspeed,davila7,20041,10,20459,coding_dev;devops_infra;data_ml_ai;documentation_writing;research_analysis;workflow_automation,0,2,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/distributed-training-deepspeed,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-deepspeed-skill-md/content
instruction_long,popular,davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md,pytorch-fsdp,davila7,20041,3,24193,coding_dev;data_ml_ai;documentation_writing;research_analysis;workflow_automation,0,0,https://github.com/davila7/claude-code-templates/tree/main/cli-tool/components/skills/ai-research/distributed-training-pytorch-fsdp,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/davila7-claude-code-templates-cli-tool-components-skills-ai-research-distributed-training-pytorch-fsdp-skill-md/content
instruction_long,popular,leonardomso-33-js-concepts-claude-skills-write-concept-skill-md,write-concept,leonardomso,66250,1,6257,coding_dev;documentation_writing;research_analysis,0,9,https://github.com/leonardomso/33-js-concepts/tree/master/.claude/skills/write-concept,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/popular/leonardomso-33-js-concepts-claude-skills-write-concept-skill-md/content
security_high,random,iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md,encrypt-secret,iamruinous,6,1,1278,coding_dev;devops_infra;security;workflow_automation;integration_tools,50,0,https://github.com/iamruinous/nix-config/tree/main/.opencode/skills/encrypt-secret,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/iamruinous-nix-config-opencode-skills-encrypt-secret-skill-md/content
security_high,random,shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md,clanker,shreed27,0,2,363,devops_infra,29,0,https://github.com/shreed27/DAIN/tree/main/CloddsBot-main/src/skills/bundled/clanker,/Users/tan/Desktop/RA3/skills_data/sampled_skills_1000/random/shreed27-dain-cloddsbot-main-src-skills-bundled-clanker-skill-md/content
